Technology,2009-01-02,156.76000000000008
Consumer Durables,2009-01-02,37.839999999999954
Public Utilities,2009-01-02,73.76
Finance,2009-01-02,134.3699999999999
Consumer Non-Durables,2009-01-02,69.05
Basic Industries,2009-01-02,103.28
Consumer Services,2009-01-02,84.27999999999997
Health Care,2009-01-02,59.770000000000024
Capital Goods,2009-01-02,162.5199999999999
Energy,2009-01-02,196.73000000000005
Transportation,2009-01-02,37.38000000000001
Miscellaneous,2009-01-02,36.34
Consumer Durables,2009-01-05,-1.8100000000000032
Miscellaneous,2009-01-05,1.3199999999999896
Public Utilities,2009-01-05,26.039999999999957
Capital Goods,2009-01-05,81.55
Consumer Non-Durables,2009-01-05,-5.700000000000026
Health Care,2009-01-05,4.360000000000035
Transportation,2009-01-05,-1.9500000000000148
Technology,2009-01-05,39.82000000000001
Finance,2009-01-05,-4.419999999999989
Consumer Services,2009-01-05,-25.36000000000004
Energy,2009-01-05,138.99999999999994
Basic Industries,2009-01-05,62.78999999999998
Public Utilities,2009-01-06,-16.60000000000001
Capital Goods,2009-01-06,93.33000000000006
Consumer Durables,2009-01-06,22.67999999999999
Transportation,2009-01-06,32.179999999999986
Consumer Services,2009-01-06,117.25000000000004
Health Care,2009-01-06,-35.16000000000002
Miscellaneous,2009-01-06,19.26000000000003
Technology,2009-01-06,71.03999999999995
Finance,2009-01-06,154.56000000000023
Basic Industries,2009-01-06,51.33000000000007
Consumer Non-Durables,2009-01-06,-4.2399999999999896
Energy,2009-01-06,18.55999999999998
Finance,2009-01-07,-243.22000000000017
Basic Industries,2009-01-07,-122.79000000000002
Energy,2009-01-07,-146.42000000000007
Miscellaneous,2009-01-07,-20.86
Technology,2009-01-07,-72.52999999999999
Consumer Non-Durables,2009-01-07,-40.279999999999944
Consumer Services,2009-01-07,-135.19000000000005
Capital Goods,2009-01-07,-95.21999999999997
Public Utilities,2009-01-07,-35.370000000000005
Transportation,2009-01-07,-35.86000000000002
Consumer Durables,2009-01-07,-33.02999999999998
Health Care,2009-01-07,-3.860000000000011
Miscellaneous,2009-01-08,20.050000000000004
Consumer Non-Durables,2009-01-08,11.390000000000015
Energy,2009-01-08,102.50999999999999
Health Care,2009-01-08,49.94000000000005
Consumer Durables,2009-01-08,25.910000000000007
Technology,2009-01-08,62.89999999999997
Consumer Services,2009-01-08,93.51999999999994
Finance,2009-01-08,96.93000000000005
Capital Goods,2009-01-08,91.27999999999996
Transportation,2009-01-08,16.179999999999996
Basic Industries,2009-01-08,89.81000000000006
Public Utilities,2009-01-08,46.329999999999984
Capital Goods,2009-01-09,-156.58999999999986
Consumer Non-Durables,2009-01-09,-94.37999999999998
Public Utilities,2009-01-09,-60.69000000000001
Health Care,2009-01-09,-79.03000000000007
Transportation,2009-01-09,-48.860000000000014
Basic Industries,2009-01-09,-129.2199999999999
Consumer Durables,2009-01-09,-44.99999999999999
Consumer Services,2009-01-09,-243.68000000000006
Technology,2009-01-09,-138.55
Finance,2009-01-09,-340.65000000000003
Miscellaneous,2009-01-09,-33.870000000000005
Energy,2009-01-09,-151.22999999999996
Health Care,2009-01-12,-43.39000000000002
Miscellaneous,2009-01-12,-20.369999999999997
Finance,2009-01-12,-391.19000000000005
Technology,2009-01-12,-100.12000000000006
Capital Goods,2009-01-12,-156.36000000000004
Consumer Durables,2009-01-12,-45.71000000000003
Basic Industries,2009-01-12,-169.94000000000017
Transportation,2009-01-12,-49.779999999999994
Consumer Services,2009-01-12,-218.1699999999999
Consumer Non-Durables,2009-01-12,-41.97000000000001
Energy,2009-01-12,-127.65000000000002
Public Utilities,2009-01-12,-29.540000000000013
Health Care,2009-01-13,64.92000000000009
Consumer Services,2009-01-13,73.57999999999987
Basic Industries,2009-01-13,62.149999999999956
Miscellaneous,2009-01-13,11.22000000000002
Energy,2009-01-13,89.78000000000002
Transportation,2009-01-13,-4.610000000000003
Public Utilities,2009-01-13,4.420000000000012
Technology,2009-01-13,14.929999999999989
Consumer Non-Durables,2009-01-13,11.269999999999975
Consumer Durables,2009-01-13,17.559999999999995
Finance,2009-01-13,143.92999999999984
Capital Goods,2009-01-13,24.45999999999995
Energy,2009-01-14,-112.91000000000005
Public Utilities,2009-01-14,-41.39000000000002
Health Care,2009-01-14,-29.000000000000025
Technology,2009-01-14,-104.58000000000004
Transportation,2009-01-14,-41.20000000000003
Consumer Services,2009-01-14,-181.79000000000025
Consumer Durables,2009-01-14,-32.250000000000014
Miscellaneous,2009-01-14,-32.16999999999999
Finance,2009-01-14,-332.1000000000001
Capital Goods,2009-01-14,-119.19999999999996
Consumer Non-Durables,2009-01-14,-49.74000000000004
Basic Industries,2009-01-14,-113.25000000000006
Consumer Services,2009-01-15,199.8699999999999
Technology,2009-01-15,71.38000000000004
Public Utilities,2009-01-15,39.280000000000015
Consumer Non-Durables,2009-01-15,44.010000000000005
Finance,2009-01-15,36.8
Energy,2009-01-15,52.38999999999995
Miscellaneous,2009-01-15,-3.1699999999999964
Health Care,2009-01-15,61.06999999999997
Consumer Durables,2009-01-15,26.169999999999998
Transportation,2009-01-15,20.37999999999999
Capital Goods,2009-01-15,81.05000000000005
Basic Industries,2009-01-15,85.36999999999992
Finance,2009-01-16,-143.0500000000001
Public Utilities,2009-01-16,-1.8199999999999952
Capital Goods,2009-01-16,-6.099999999999962
Health Care,2009-01-16,-8.389999999999965
Technology,2009-01-16,-12.769999999999929
Miscellaneous,2009-01-16,-9.86
Consumer Non-Durables,2009-01-16,2.5600000000000063
Consumer Services,2009-01-16,31.20000000000003
Consumer Durables,2009-01-16,-10.319999999999986
Transportation,2009-01-16,-24.03999999999998
Basic Industries,2009-01-16,-8.060000000000002
Energy,2009-01-16,-53.18
Consumer Non-Durables,2009-01-20,-94.51000000000002
Finance,2009-01-20,-886.7800000000004
